"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-16 06:00:00,1.008,3.369,0
2026-06-16 06:01:00,0.99,3.364,2
2026-06-16 06:02:00,0.99,3.341,2
2026-06-16 06:03:00,0.917,3.122,0
2026-06-16 06:04:00,0.843,2.891,0
2026-06-16 06:05:00,0.791,2.691,0
2026-06-16 06:06:00,0.756,2.488,2
2026-06-16 06:07:00,0.716,2.249,0
2026-06-16 06:08:00,0.676,2.018,0
2026-06-16 06:09:00,0.652,1.86,2
2026-06-16 06:10:00,0.613,1.749,0
2026-06-16 06:11:00,0.581,1.643,0
2026-06-16 06:12:00,0.563,1.592,2
2026-06-16 06:13:00,0.547,1.518,2
2026-06-16 06:14:00,0.521,1.446,0
2026-06-16 06:15:00,0.491,1.424,0
2026-06-16 06:16:00,0.459,1.358,2
2026-06-16 06:17:00,0.421,1.34,2
2026-06-16 06:18:00,0.418,1.339,0
2026-06-16 06:19:00,0.419,1.363,2
2026-06-16 06:20:00,0.434,1.353,2
2026-06-16 06:21:00,0.449,1.36,0
2026-06-16 06:22:00,0.44,1.348,0
2026-06-16 06:23:00,0.454,1.331,2
2026-06-16 06:24:00,0.485,1.369,0
2026-06-16 06:25:00,0.481,1.399,0
2026-06-16 06:26:00,0.491,1.425,2
2026-06-16 06:27:00,0.552,1.59,2
2026-06-16 06:28:00,0.649,1.887,2
2026-06-16 06:29:00,0.712,2.116,2
2026-06-16 06:30:00,0.789,2.373,2
2026-06-16 06:31:00,0.834,2.579,0
2026-06-16 06:32:00,0.839,2.674,0
2026-06-16 06:33:00,0.867,2.793,2
2026-06-16 06:34:00,0.899,2.893,0
2026-06-16 06:35:00,0.911,2.897,0
2026-06-16 06:36:00,0.825,2.669,0
2026-06-16 06:37:00,0.751,2.427,2
2026-06-16 06:38:00,0.714,2.217,0
2026-06-16 06:39:00,0.696,2.134,2
2026-06-16 06:40:00,0.673,1.973,2
2026-06-16 06:41:00,0.681,1.853,0
2026-06-16 06:42:00,0.663,1.76,0
2026-06-16 06:43:00,0.659,1.659,0
2026-06-16 06:44:00,0.656,1.632,2
2026-06-16 06:45:00,0.684,1.665,0
2026-06-16 06:46:00,0.705,1.702,0
2026-06-16 06:47:00,0.697,1.708,2
2026-06-16 06:48:00,0.722,1.786,0
2026-06-16 06:49:00,0.732,1.811,0
2026-06-16 06:50:00,0.738,1.888,2
2026-06-16 06:51:00,0.771,1.982,0
2026-06-16 06:52:00,0.828,2.153,0
2026-06-16 06:53:00,0.878,2.272,0
2026-06-16 06:54:00,0.946,2.464,2
2026-06-16 06:55:00,0.985,2.642,2
2026-06-16 06:56:00,0.948,2.605,0
2026-06-16 06:57:00,0.919,2.62,2
2026-06-16 06:58:00,0.91,2.665,2
2026-06-16 06:59:00,0.942,2.781,0
