"date (UTC)","NO2 (ppb)","Flag"
2026-08-16 09:00:00,3.376,0
2026-08-16 09:01:00,3.21,0
2026-08-16 09:02:00,3.207,0
2026-08-16 09:03:00,3.144,0
2026-08-16 09:04:00,3.357,0
2026-08-16 09:05:00,3.604,0
2026-08-16 09:06:00,3.608,0
2026-08-16 09:07:00,3.606,0
2026-08-16 09:08:00,3.68,2
2026-08-16 09:09:00,3.609,0
2026-08-16 09:10:00,3.613,2
2026-08-16 09:11:00,3.797,0
2026-08-16 09:12:00,3.547,0
2026-08-16 09:13:00,3.439,2
2026-08-16 09:14:00,3.599,0
2026-08-16 09:15:00,3.397,0
2026-08-16 09:16:00,3.32,0
2026-08-16 09:17:00,3.295,0
2026-08-16 09:18:00,3.295,0
2026-08-16 09:19:00,3.298,0
2026-08-16 09:20:00,3.446,0
2026-08-16 09:21:00,3.447,0
2026-08-16 09:22:00,3.549,0
2026-08-16 09:23:00,3.756,0
2026-08-16 09:24:00,3.667,0
2026-08-16 09:25:00,3.718,2
2026-08-16 09:26:00,3.828,0
2026-08-16 09:27:00,3.555,0
2026-08-16 09:28:00,3.48,0
2026-08-16 09:29:00,3.429,0
2026-08-16 09:30:00,3.276,0
2026-08-16 09:31:00,3.228,0
2026-08-16 09:32:00,3.278,0
2026-08-16 09:33:00,3.088,2
2026-08-16 09:34:00,3.226,0
2026-08-16 09:35:00,3.377,0
2026-08-16 09:36:00,3.458,0
2026-08-16 09:37:00,3.66,0
2026-08-16 09:38:00,3.69,0
2026-08-16 09:39:00,3.672,0
2026-08-16 09:40:00,3.843,0
2026-08-16 09:41:00,4.061,2
2026-08-16 09:42:00,4.15,0
2026-08-16 09:43:00,4.237,0
2026-08-16 09:44:00,3.927,0
2026-08-16 09:45:00,3.832,2
2026-08-16 09:46:00,4.392,0
2026-08-16 09:47:00,4.201,0
2026-08-16 09:48:00,4.035,0
2026-08-16 09:49:00,4.141,0
2026-08-16 09:50:00,4.028,0
2026-08-16 09:51:00,3.8,0
2026-08-16 09:52:00,3.979,0
2026-08-16 09:53:00,3.857,2
2026-08-16 09:54:00,3.841,0
2026-08-16 09:55:00,3.9,0
2026-08-16 09:56:00,3.805,2
2026-08-16 09:57:00,4.506,0
2026-08-16 09:58:00,4.516,0
2026-08-16 09:59:00,3.96,0
