"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-06-14 05:00:00,0.134,0.571,2
2026-06-14 05:01:00,0.149,0.611,2
2026-06-14 05:02:00,0.164,0.697,2
2026-06-14 05:03:00,0.167,0.733,2
2026-06-14 05:04:00,0.172,0.748,2
2026-06-14 05:05:00,0.192,0.799,0
2026-06-14 05:06:00,0.205,0.856,0
2026-06-14 05:07:00,0.209,0.877,2
2026-06-14 05:08:00,0.207,0.891,0
2026-06-14 05:09:00,0.212,0.886,0
2026-06-14 05:10:00,0.206,0.843,2
2026-06-14 05:11:00,0.214,0.811,2
2026-06-14 05:12:00,0.227,0.795,0
2026-06-14 05:13:00,0.219,0.743,2
2026-06-14 05:14:00,0.228,0.724,2
2026-06-14 05:15:00,0.252,0.729,0
2026-06-14 05:16:00,0.28,0.772,0
2026-06-14 05:17:00,0.297,0.795,2
2026-06-14 05:18:00,0.307,0.82,2
2026-06-14 05:19:00,0.363,0.905,0
2026-06-14 05:20:00,0.378,0.934,2
2026-06-14 05:21:00,0.39,0.949,2
2026-06-14 05:22:00,0.409,0.976,0
2026-06-14 05:23:00,0.408,0.96,0
2026-06-14 05:24:00,0.405,0.955,2
2026-06-14 05:25:00,0.388,0.925,0
2026-06-14 05:26:00,0.391,0.887,0
2026-06-14 05:27:00,0.358,0.833,2
2026-06-14 05:28:00,0.311,0.73,2
2026-06-14 05:29:00,0.297,0.688,2
2026-06-14 05:30:00,0.292,0.653,0
2026-06-14 05:31:00,0.281,0.627,2
2026-06-14 05:32:00,0.286,0.612,0
2026-06-14 05:33:00,0.282,0.59,0
2026-06-14 05:34:00,0.286,0.577,2
2026-06-14 05:35:00,0.291,0.578,0
2026-06-14 05:36:00,0.285,0.58,0
2026-06-14 05:37:00,0.304,0.563,0
2026-06-14 05:38:00,0.295,0.573,2
2026-06-14 05:39:00,0.301,0.581,0
2026-06-14 05:40:00,0.293,0.576,2
2026-06-14 05:41:00,0.308,0.574,2
2026-06-14 05:42:00,0.305,0.569,0
2026-06-14 05:43:00,0.286,0.565,0
2026-06-14 05:44:00,0.305,0.555,0
2026-06-14 05:45:00,0.304,0.57,2
2026-06-14 05:46:00,0.309,0.568,0
2026-06-14 05:47:00,0.325,0.577,0
2026-06-14 05:48:00,0.336,0.636,2
2026-06-14 05:49:00,0.334,0.649,0
2026-06-14 05:50:00,0.333,0.634,0
2026-06-14 05:51:00,0.327,0.655,2
2026-06-14 05:52:00,0.333,0.652,2
2026-06-14 05:53:00,0.321,0.652,0
2026-06-14 05:54:00,0.334,0.683,0
2026-06-14 05:55:00,0.33,0.689,2
2026-06-14 05:56:00,0.305,0.665,2
2026-06-14 05:57:00,0.279,0.621,0
2026-06-14 05:58:00,0.272,0.633,2
2026-06-14 05:59:00,0.265,0.625,2
