"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-15 03:00:00,0.125,1.85,2
2026-06-15 03:01:00,0.115,1.792,0
2026-06-15 03:02:00,0.105,1.727,0
2026-06-15 03:03:00,0.108,1.694,0
2026-06-15 03:04:00,0.1,1.673,2
2026-06-15 03:05:00,0.095,1.642,2
2026-06-15 03:06:00,0.086,1.635,0
2026-06-15 03:07:00,0.089,1.638,2
2026-06-15 03:08:00,0.104,1.652,0
2026-06-15 03:09:00,0.113,1.663,0
2026-06-15 03:10:00,0.129,1.648,0
2026-06-15 03:11:00,0.13,1.683,2
2026-06-15 03:12:00,0.135,1.727,0
2026-06-15 03:13:00,0.13,1.758,0
2026-06-15 03:14:00,0.134,1.839,2
2026-06-15 03:15:00,0.141,1.881,2
2026-06-15 03:16:00,0.145,1.922,2
2026-06-15 03:17:00,0.145,1.948,2
2026-06-15 03:18:00,0.13,1.988,2
2026-06-15 03:19:00,0.128,2.054,0
2026-06-15 03:20:00,0.133,2.102,0
2026-06-15 03:21:00,0.113,2.133,2
2026-06-15 03:22:00,0.12,2.171,0
2026-06-15 03:23:00,0.112,2.209,0
2026-06-15 03:24:00,0.104,2.226,2
2026-06-15 03:25:00,0.088,2.271,2
2026-06-15 03:26:00,0.09,2.344,0
2026-06-15 03:27:00,0.085,2.423,2
2026-06-15 03:28:00,0.083,2.454,2
2026-06-15 03:29:00,0.08,2.486,0
2026-06-15 03:30:00,0.086,2.482,0
2026-06-15 03:31:00,0.085,2.479,2
2026-06-15 03:32:00,0.085,2.458,2
2026-06-15 03:33:00,0.078,2.436,0
2026-06-15 03:34:00,0.08,2.383,2
2026-06-15 03:35:00,0.083,2.313,2
2026-06-15 03:36:00,0.083,2.232,0
2026-06-15 03:37:00,0.086,2.148,0
2026-06-15 03:38:00,0.087,2.099,2
2026-06-15 03:39:00,0.077,2.065,0
2026-06-15 03:40:00,0.063,2.006,0
2026-06-15 03:41:00,0.066,1.954,0
2026-06-15 03:42:00,0.065,1.897,2
2026-06-15 03:43:00,0.063,1.858,2
2026-06-15 03:44:00,0.068,1.803,0
2026-06-15 03:45:00,0.064,1.762,2
2026-06-15 03:46:00,0.059,1.722,0
2026-06-15 03:47:00,0.054,1.705,0
2026-06-15 03:48:00,0.06,1.7,0
2026-06-15 03:49:00,0.058,1.699,0
2026-06-15 03:50:00,0.052,1.708,0
2026-06-15 03:51:00,0.047,1.757,0
2026-06-15 03:52:00,0.047,1.772,2
2026-06-15 03:53:00,0.042,1.792,0
2026-06-15 03:54:00,0.048,1.848,2
2026-06-15 03:55:00,0.052,1.869,2
2026-06-15 03:56:00,0.058,1.883,0
2026-06-15 03:57:00,0.074,1.901,0
2026-06-15 03:58:00,0.081,1.909,0
2026-06-15 03:59:00,0.083,1.93,2
