"","date (UTC)","NO (ppb)","NOy (ppb)","Flag"
"1","2026-09-15 03:00:00",0.132,1.12,0
"2","2026-09-15 03:01:00",0.126,1.069,2
"3","2026-09-15 03:02:00",0.107,1.005,2
"4","2026-09-15 03:03:00",0.106,0.948,0
"5","2026-09-15 03:04:00",0.156,1.003,2
"6","2026-09-15 03:05:00",0.197,1.159,2
"7","2026-09-15 03:06:00",0.333,1.487,0
"8","2026-09-15 03:07:00",0.4,1.701,0
"9","2026-09-15 03:08:00",0.464,1.901,2
"10","2026-09-15 03:09:00",0.504,2.068,0
"11","2026-09-15 03:10:00",0.503,2.165,0
"12","2026-09-15 03:11:00",0.522,2.243,2
"13","2026-09-15 03:12:00",0.528,2.342,2
"14","2026-09-15 03:13:00",0.47,2.251,2
"15","2026-09-15 03:14:00",0.4,2.061,2
"16","2026-09-15 03:15:00",0.302,1.826,2
"17","2026-09-15 03:16:00",0.199,1.616,0
"18","2026-09-15 03:17:00",0.144,1.451,0
"19","2026-09-15 03:18:00",0.14,1.372,2
"20","2026-09-15 03:19:00",0.162,1.319,0
"21","2026-09-15 03:20:00",0.167,1.266,0
"22","2026-09-15 03:21:00",0.163,1.22,0
"23","2026-09-15 03:22:00",0.184,1.183,2
"24","2026-09-15 03:23:00",0.175,1.11,0
"25","2026-09-15 03:24:00",0.175,1.06,2
"26","2026-09-15 03:25:00",0.21,1.055,2
"27","2026-09-15 03:26:00",0.228,1.039,0
"28","2026-09-15 03:27:00",0.227,1.04,0
"29","2026-09-15 03:28:00",0.23,1.053,0
"30","2026-09-15 03:29:00",0.23,1.016,2
"31","2026-09-15 03:30:00",0.218,0.969,0
"32","2026-09-15 03:31:00",0.219,0.93,0
"33","2026-09-15 03:32:00",0.225,0.947,2
"34","2026-09-15 03:33:00",0.226,0.906,0
"35","2026-09-15 03:34:00",0.205,0.825,0
"36","2026-09-15 03:35:00",0.181,0.747,2
"37","2026-09-15 03:36:00",0.169,0.654,0
"38","2026-09-15 03:37:00",0.179,0.554,0
"39","2026-09-15 03:38:00",0.176,0.55,0
"40","2026-09-15 03:39:00",0.2,0.496,2
"41","2026-09-15 03:40:00",0.18,0.417,2
"42","2026-09-15 03:41:00",0.264,0.513,0
"43","2026-09-15 03:42:00",0.305,0.545,2
"44","2026-09-15 03:43:00",0.335,0.546,0
"45","2026-09-15 03:44:00",0.353,0.516,0
"46","2026-09-15 03:45:00",0.357,0.489,0
"47","2026-09-15 03:46:00",0.341,0.461,2
"48","2026-09-15 03:47:00",0.314,0.38,0
"49","2026-09-15 03:48:00",0.289,0.355,0
"50","2026-09-15 03:49:00",0.26,0.324,2
"51","2026-09-15 03:50:00",0.155,0.11,2
"52","2026-09-15 03:51:00",0.118,0.008,2
"53","2026-09-15 03:52:00",0.079,-0.031,2
"54","2026-09-15 03:53:00",0.055,-0.083,2
"55","2026-09-15 03:54:00",0.053,-0.109,1
"56","2026-09-15 03:55:00",0.059,-0.119,1
"57","2026-09-15 03:56:00",0.064,-0.133,2
"58","2026-09-15 03:57:00",0.063,-0.151,1
"59","2026-09-15 03:58:00",0.047,-0.159,1
"60","2026-09-15 03:59:00",0.056,-0.164,2
"61","2026-09-15 04:00:00",0.06,-0.172,2
"62","2026-09-15 04:01:00",0.061,-0.177,1
"63","2026-09-15 04:02:00",0.064,-0.152,2
"64","2026-09-15 04:03:00",0.072,-0.127,2
"65","2026-09-15 04:04:00",0.075,-0.126,1
"66","2026-09-15 04:05:00",0.08,-0.102,1
"67","2026-09-15 04:06:00",0.089,-0.105,2
"68","2026-09-15 04:07:00",0.112,-0.101,2
"69","2026-09-15 04:08:00",0.11,-0.107,1
"70","2026-09-15 04:09:00",0.104,-0.099,2
"71","2026-09-15 04:10:00",0.108,-0.115,2
"72","2026-09-15 04:11:00",0.11,-0.125,1
"73","2026-09-15 04:12:00",0.144,-0.072,1
"74","2026-09-15 04:13:00",0.195,0.056,2
"75","2026-09-15 04:14:00",0.256,0.168,1
"76","2026-09-15 04:15:00",0.266,0.219,1
"77","2026-09-15 04:16:00",0.259,0.223,1
"78","2026-09-15 04:17:00",0.258,0.246,2
"79","2026-09-15 04:18:00",0.265,0.293,2
"80","2026-09-15 04:19:00",0.277,0.359,0
"81","2026-09-15 04:20:00",0.256,0.399,2
"82","2026-09-15 04:21:00",0.203,0.357,0
"83","2026-09-15 04:22:00",0.131,0.249,0
"84","2026-09-15 04:23:00",0.112,0.272,0
