"date (UTC)","O3 (ppb)","Flag"
2026-09-19 01:00:00,11.81,1
2026-09-19 01:01:00,12.03,1
2026-09-19 01:02:00,11.47,1
2026-09-19 01:03:00,10.5,1
2026-09-19 01:04:00,11.13,1
2026-09-19 01:05:00,11.19,1
2026-09-19 01:06:00,11.74,1
2026-09-19 01:07:00,11.58,1
2026-09-19 01:08:00,11.3,1
2026-09-19 01:09:00,11.65,1
2026-09-19 01:10:00,22.86,1
2026-09-19 01:11:00,25.06,1
2026-09-19 01:12:00,25.68,1
2026-09-19 01:13:00,25.56,1
2026-09-19 01:14:00,25.77,1
2026-09-19 01:15:00,24.97,0
2026-09-19 01:16:00,25.93,0
2026-09-19 01:17:00,24.58,0
2026-09-19 01:18:00,25.79,0
2026-09-19 01:19:00,25.82,0
2026-09-19 01:20:00,26.42,0
2026-09-19 01:21:00,26.33,0
2026-09-19 01:22:00,25.75,0
2026-09-19 01:23:00,25.84,0
2026-09-19 01:24:00,26.35,0
2026-09-19 01:25:00,26.78,0
2026-09-19 01:26:00,26.65,0
2026-09-19 01:27:00,26.25,0
2026-09-19 01:28:00,25.81,0
2026-09-19 01:29:00,25.98,0
2026-09-19 01:30:00,26.09,0
2026-09-19 01:31:00,25.43,0
2026-09-19 01:32:00,26.16,0
2026-09-19 01:33:00,26.67,0
2026-09-19 01:34:00,26.82,0
2026-09-19 01:35:00,26.96,0
2026-09-19 01:36:00,26.53,0
2026-09-19 01:37:00,27.07,0
2026-09-19 01:38:00,27.4,0
2026-09-19 01:39:00,27.21,0
2026-09-19 01:40:00,27.58,0
2026-09-19 01:41:00,27.8,0
2026-09-19 01:42:00,27,0
2026-09-19 01:43:00,27.59,0
2026-09-19 01:44:00,27.35,0
2026-09-19 01:45:00,26.76,0
2026-09-19 01:46:00,26.54,0
2026-09-19 01:47:00,27.43,0
2026-09-19 01:48:00,27.65,0
2026-09-19 01:49:00,26.97,0
2026-09-19 01:50:00,27.31,0
2026-09-19 01:51:00,27.08,0
2026-09-19 01:52:00,26.46,0
2026-09-19 01:53:00,27.33,0
2026-09-19 01:54:00,26.99,0
2026-09-19 01:55:00,26.9,0
2026-09-19 01:56:00,25.9,0
2026-09-19 01:57:00,26.47,0
2026-09-19 01:58:00,26.86,0
2026-09-19 01:59:00,27.39,0
