"date (UTC)","SO2 (ppb)","Flag"
2026-08-09 17:00:00,0.849,0
2026-08-09 17:01:00,0.842,1
2026-08-09 17:02:00,0.931,0
2026-08-09 17:03:00,0.98,0
2026-08-09 17:04:00,1.006,0
2026-08-09 17:05:00,1.007,0
2026-08-09 17:06:00,1.008,0
2026-08-09 17:07:00,0.999,0
2026-08-09 17:08:00,0.993,0
2026-08-09 17:09:00,0.978,0
2026-08-09 17:10:00,0.998,0
2026-08-09 17:11:00,1.015,0
2026-08-09 17:12:00,0.988,0
2026-08-09 17:13:00,1.04,0
2026-08-09 17:14:00,1.048,1
2026-08-09 17:15:00,1.063,0
2026-08-09 17:16:00,1.084,0
2026-08-09 17:17:00,1.076,0
2026-08-09 17:18:00,0.972,0
2026-08-09 17:19:00,0.92,1
2026-08-09 17:20:00,0.875,0
2026-08-09 17:21:00,0.85,0
2026-08-09 17:22:00,0.82,0
2026-08-09 17:23:00,0.771,0
2026-08-09 17:24:00,0.771,0
2026-08-09 17:25:00,0.755,0
2026-08-09 17:26:00,0.742,1
2026-08-09 17:27:00,0.758,0
2026-08-09 17:28:00,0.808,0
2026-08-09 17:29:00,0.77,0
2026-08-09 17:30:00,0.781,0
2026-08-09 17:31:00,0.796,0
2026-08-09 17:32:00,0.801,0
2026-08-09 17:33:00,0.83,0
2026-08-09 17:34:00,0.882,0
2026-08-09 17:35:00,0.911,0
2026-08-09 17:36:00,0.951,0
2026-08-09 17:37:00,1.012,0
2026-08-09 17:38:00,1.04,0
2026-08-09 17:39:00,1.071,0
2026-08-09 17:40:00,1.062,0
2026-08-09 17:41:00,1.04,0
2026-08-09 17:42:00,1.029,1
2026-08-09 17:43:00,1.023,0
2026-08-09 17:44:00,1.009,0
2026-08-09 17:45:00,1.028,0
2026-08-09 17:46:00,1.006,0
2026-08-09 17:47:00,0.974,0
2026-08-09 17:48:00,0.938,0
2026-08-09 17:49:00,0.935,0
2026-08-09 17:50:00,0.91,0
2026-08-09 17:51:00,0.893,0
2026-08-09 17:52:00,0.862,1
2026-08-09 17:53:00,0.844,0
2026-08-09 17:54:00,0.831,0
2026-08-09 17:55:00,0.815,1
2026-08-09 17:56:00,0.824,0
2026-08-09 17:57:00,0.86,0
2026-08-09 17:58:00,0.864,0
2026-08-09 17:59:00,0.858,0
