"","date (UTC)","SO2 (ppb)","Flag"
"1","2026-07-16",0.309,1
"2","2026-07-16 00:01:00",0.322,1
"3","2026-07-16 00:02:00",0.301,0
"4","2026-07-16 00:03:00",0.287,0
"5","2026-07-16 00:04:00",0.288,0
"6","2026-07-16 00:05:00",0.316,0
"7","2026-07-16 00:06:00",0.292,0
"8","2026-07-16 00:07:00",0.28,0
"9","2026-07-16 00:08:00",0.287,0
"10","2026-07-16 00:09:00",0.284,0
"11","2026-07-16 00:10:00",0.271,0
"12","2026-07-16 00:11:00",0.324,0
"13","2026-07-16 00:12:00",0.343,0
"14","2026-07-16 00:13:00",0.353,0
"15","2026-07-16 00:14:00",0.331,0
"16","2026-07-16 00:15:00",0.335,0
"17","2026-07-16 00:16:00",0.324,0
"18","2026-07-16 00:17:00",0.273,0
"19","2026-07-16 00:18:00",0.284,0
"20","2026-07-16 00:19:00",0.279,0
"21","2026-07-16 00:20:00",0.287,0
"22","2026-07-16 00:21:00",0.254,0
"23","2026-07-16 00:22:00",0.229,0
"24","2026-07-16 00:23:00",0.252,0
"25","2026-07-16 00:24:00",0.23,0
"26","2026-07-16 00:25:00",0.194,0
"27","2026-07-16 00:26:00",0.183,0
"28","2026-07-16 00:27:00",0.117,0
"29","2026-07-16 00:28:00",0.089,0
"30","2026-07-16 00:29:00",0.116,0
"31","2026-07-16 00:30:00",0.122,0
"32","2026-07-16 00:31:00",0.141,1
"33","2026-07-16 00:32:00",0.168,0
"34","2026-07-16 00:33:00",0.241,0
"35","2026-07-16 00:34:00",0.267,0
"36","2026-07-16 00:35:00",0.287,0
"37","2026-07-16 00:36:00",0.335,0
"38","2026-07-16 00:37:00",0.396,0
"39","2026-07-16 00:38:00",0.441,0
"40","2026-07-16 00:39:00",0.429,0
"41","2026-07-16 00:40:00",0.443,0
"42","2026-07-16 00:41:00",0.455,1
"43","2026-07-16 00:42:00",0.433,0
"44","2026-07-16 00:43:00",0.432,0
"45","2026-07-16 00:44:00",0.455,0
"46","2026-07-16 00:45:00",0.432,0
"47","2026-07-16 00:46:00",0.435,0
"48","2026-07-16 00:47:00",0.408,0
"49","2026-07-16 00:48:00",0.361,0
"50","2026-07-16 00:49:00",0.319,0
"51","2026-07-16 00:50:00",0.306,0
"52","2026-07-16 00:51:00",0.333,1
"53","2026-07-16 00:52:00",0.302,0
"54","2026-07-16 00:53:00",0.259,0
"55","2026-07-16 00:54:00",0.23,0
"56","2026-07-16 00:55:00",0.215,1
"57","2026-07-16 00:56:00",0.198,0
"58","2026-07-16 00:57:00",0.182,0
"59","2026-07-16 00:58:00",0.186,0
"60","2026-07-16 00:59:00",0.136,1
"61","2026-07-16 01:00:00",0.092,0
"62","2026-07-16 01:01:00",0.069,0
"63","2026-07-16 01:02:00",0.042,0
"64","2026-07-16 01:03:00",0.026,0
"65","2026-07-16 01:04:00",0.069,0
"66","2026-07-16 01:05:00",0.1,0
"67","2026-07-16 01:06:00",0.094,0
"68","2026-07-16 01:07:00",0.05,0
"69","2026-07-16 01:08:00",0.042,0
"70","2026-07-16 01:09:00",0.048,0
"71","2026-07-16 01:10:00",0.078,0
"72","2026-07-16 01:11:00",0.1,1
"73","2026-07-16 01:12:00",0.133,0
"74","2026-07-16 01:13:00",0.163,0
"75","2026-07-16 01:14:00",0.216,0
"76","2026-07-16 01:15:00",0.258,0
"77","2026-07-16 01:16:00",0.262,0
"78","2026-07-16 01:17:00",0.255,0
"79","2026-07-16 01:18:00",0.27,0
"80","2026-07-16 01:19:00",0.28,0
"81","2026-07-16 01:20:00",0.285,0
"82","2026-07-16 01:21:00",0.247,0
"83","2026-07-16 01:22:00",0.259,0
"84","2026-07-16 01:23:00",0.282,0
"85","2026-07-16 01:24:00",0.284,0
"86","2026-07-16 01:25:00",0.307,0
"87","2026-07-16 01:26:00",0.287,0
"88","2026-07-16 01:27:00",0.23,0
"89","2026-07-16 01:28:00",0.219,0
"90","2026-07-16 01:29:00",0.21,0
"91","2026-07-16 01:30:00",0.167,0
"92","2026-07-16 01:31:00",0.161,0
"93","2026-07-16 01:32:00",0.194,1
"94","2026-07-16 01:33:00",0.216,1
"95","2026-07-16 01:34:00",0.216,0
"96","2026-07-16 01:35:00",0.227,0
"97","2026-07-16 01:36:00",0.197,0
"98","2026-07-16 01:37:00",0.183,0
"99","2026-07-16 01:38:00",0.202,0
"100","2026-07-16 01:39:00",0.173,1
"101","2026-07-16 01:40:00",0.139,1
"102","2026-07-16 01:41:00",0.146,0
"103","2026-07-16 01:42:00",0.164,0
"104","2026-07-16 01:43:00",0.228,0
"105","2026-07-16 01:44:00",0.246,0
"106","2026-07-16 01:45:00",0.281,0
"107","2026-07-16 01:46:00",0.317,0
"108","2026-07-16 01:47:00",0.31,1
"109","2026-07-16 01:48:00",0.295,0
"110","2026-07-16 01:49:00",0.316,0
"111","2026-07-16 01:50:00",0.319,0
"112","2026-07-16 01:51:00",0.318,0
"113","2026-07-16 01:52:00",0.29,0
"114","2026-07-16 01:53:00",0.304,0
"115","2026-07-16 01:54:00",0.295,0
"116","2026-07-16 01:55:00",0.303,1
"117","2026-07-16 01:56:00",0.336,0
"118","2026-07-16 01:57:00",0.357,0
"119","2026-07-16 01:58:00",0.375,1
"120","2026-07-16 01:59:00",0.348,0
"121","2026-07-16 02:00:00",0.346,0
"122","2026-07-16 02:01:00",0.308,0
"123","2026-07-16 02:02:00",0.281,1
"124","2026-07-16 02:03:00",0.292,0
"125","2026-07-16 02:04:00",0.297,0
"126","2026-07-16 02:05:00",0.333,0
"127","2026-07-16 02:06:00",0.354,0
"128","2026-07-16 02:07:00",0.341,0
"129","2026-07-16 02:08:00",0.358,0
"130","2026-07-16 02:09:00",0.341,0
"131","2026-07-16 02:10:00",0.334,0
"132","2026-07-16 02:11:00",0.328,0
"133","2026-07-16 02:12:00",0.296,0
"134","2026-07-16 02:13:00",0.25,0
"135","2026-07-16 02:14:00",0.259,0
"136","2026-07-16 02:15:00",0.278,0
"137","2026-07-16 02:16:00",0.266,0
"138","2026-07-16 02:17:00",0.297,0
"139","2026-07-16 02:18:00",0.338,0
"140","2026-07-16 02:19:00",0.395,0
"141","2026-07-16 02:20:00",0.411,1
"142","2026-07-16 02:21:00",0.377,0
"143","2026-07-16 02:22:00",0.382,0
"144","2026-07-16 02:23:00",0.398,1
"145","2026-07-16 02:24:00",0.429,0
"146","2026-07-16 02:25:00",0.429,1
"147","2026-07-16 02:26:00",0.413,0
"148","2026-07-16 02:27:00",0.423,1
"149","2026-07-16 02:28:00",0.433,0
"150","2026-07-16 02:29:00",0.432,0
"151","2026-07-16 02:30:00",0.376,0
"152","2026-07-16 02:31:00",0.349,0
"153","2026-07-16 02:32:00",0.347,0
"154","2026-07-16 02:33:00",0.33,0
"155","2026-07-16 02:34:00",0.304,0
"156","2026-07-16 02:35:00",0.269,0
"157","2026-07-16 02:36:00",0.235,0
"158","2026-07-16 02:37:00",0.233,0
"159","2026-07-16 02:38:00",0.221,0
"160","2026-07-16 02:39:00",0.254,0
"161","2026-07-16 02:40:00",0.24,0
"162","2026-07-16 02:41:00",0.232,0
"163","2026-07-16 02:42:00",0.239,0
"164","2026-07-16 02:43:00",0.203,0
"165","2026-07-16 02:44:00",0.205,0
"166","2026-07-16 02:45:00",0.209,0
"167","2026-07-16 02:46:00",0.248,0
"168","2026-07-16 02:47:00",0.293,0
"169","2026-07-16 02:48:00",0.331,0
"170","2026-07-16 02:49:00",0.319,0
"171","2026-07-16 02:50:00",0.307,0
"172","2026-07-16 02:51:00",0.301,0
"173","2026-07-16 02:52:00",0.325,0
"174","2026-07-16 02:53:00",0.304,0
"175","2026-07-16 02:54:00",0.293,0
"176","2026-07-16 02:55:00",0.232,0
"177","2026-07-16 02:56:00",0.248,0
"178","2026-07-16 02:57:00",0.282,0
"179","2026-07-16 02:58:00",0.296,0
"180","2026-07-16 02:59:00",0.308,0
"181","2026-07-16 03:00:00",0.295,0
"182","2026-07-16 03:01:00",0.268,1
"183","2026-07-16 03:02:00",0.242,0
"184","2026-07-16 03:03:00",0.194,0
"185","2026-07-16 03:04:00",0.146,1
"186","2026-07-16 03:05:00",0.193,0
"187","2026-07-16 03:06:00",0.185,0
"188","2026-07-16 03:07:00",0.183,0
"189","2026-07-16 03:08:00",0.181,0
"190","2026-07-16 03:09:00",0.176,0
"191","2026-07-16 03:10:00",0.159,0
"192","2026-07-16 03:11:00",0.18,0
"193","2026-07-16 03:12:00",0.121,0
"194","2026-07-16 03:13:00",0.078,0
"195","2026-07-16 03:14:00",0.06,0
"196","2026-07-16 03:15:00",0.071,0
"197","2026-07-16 03:16:00",0.083,0
"198","2026-07-16 03:17:00",0.124,0
"199","2026-07-16 03:18:00",0.143,0
"200","2026-07-16 03:19:00",0.134,0
"201","2026-07-16 03:20:00",0.14,0
"202","2026-07-16 03:21:00",0.099,0
"203","2026-07-16 03:22:00",0.129,0
"204","2026-07-16 03:23:00",0.185,0
"205","2026-07-16 03:24:00",0.187,0
"206","2026-07-16 03:25:00",0.21,0
"207","2026-07-16 03:26:00",0.227,0
"208","2026-07-16 03:27:00",0.229,0
"209","2026-07-16 03:28:00",0.267,0
"210","2026-07-16 03:29:00",0.307,0
"211","2026-07-16 03:30:00",0.309,0
"212","2026-07-16 03:31:00",0.374,1
"213","2026-07-16 03:32:00",0.41,0
"214","2026-07-16 03:33:00",0.395,1
"215","2026-07-16 03:34:00",0.385,0
"216","2026-07-16 03:35:00",0.418,0
"217","2026-07-16 03:36:00",0.401,1
"218","2026-07-16 03:37:00",0.391,0
"219","2026-07-16 03:38:00",0.342,0
"220","2026-07-16 03:39:00",0.282,0
"221","2026-07-16 03:40:00",0.227,0
"222","2026-07-16 03:41:00",0.234,0
"223","2026-07-16 03:42:00",0.219,0
"224","2026-07-16 03:43:00",0.216,0
"225","2026-07-16 03:44:00",0.227,0
"226","2026-07-16 03:45:00",0.235,0
"227","2026-07-16 03:46:00",0.275,0
"228","2026-07-16 03:47:00",0.234,0
"229","2026-07-16 03:48:00",0.22,0
"230","2026-07-16 03:49:00",0.267,0
"231","2026-07-16 03:50:00",0.295,0
"232","2026-07-16 03:51:00",0.313,0
"233","2026-07-16 03:52:00",0.353,0
"234","2026-07-16 03:53:00",0.397,0
"235","2026-07-16 03:54:00",0.429,0
"236","2026-07-16 03:55:00",0.436,0
"237","2026-07-16 03:56:00",0.484,0
"238","2026-07-16 03:57:00",0.479,0
"239","2026-07-16 03:58:00",0.514,0
"240","2026-07-16 03:59:00",0.524,0
"241","2026-07-16 04:00:00",0.526,0
"242","2026-07-16 04:01:00",0.523,0
"243","2026-07-16 04:02:00",0.486,0
"244","2026-07-16 04:03:00",0.472,0
"245","2026-07-16 04:04:00",0.431,0
"246","2026-07-16 04:05:00",0.38,0
"247","2026-07-16 04:06:00",0.369,0
"248","2026-07-16 04:07:00",0.373,0
"249","2026-07-16 04:08:00",0.359,0
"250","2026-07-16 04:09:00",0.334,0
"251","2026-07-16 04:10:00",0.349,0
"252","2026-07-16 04:11:00",0.35,0
"253","2026-07-16 04:12:00",0.334,0
"254","2026-07-16 04:13:00",0.367,0
"255","2026-07-16 04:14:00",0.398,0
"256","2026-07-16 04:15:00",0.423,0
"257","2026-07-16 04:16:00",0.456,0
"258","2026-07-16 04:17:00",0.469,0
"259","2026-07-16 04:18:00",0.482,0
"260","2026-07-16 04:19:00",0.533,0
"261","2026-07-16 04:20:00",0.565,0
"262","2026-07-16 04:21:00",0.567,0
"263","2026-07-16 04:22:00",0.554,0
"264","2026-07-16 04:23:00",0.529,0
"265","2026-07-16 04:24:00",0.537,1
"266","2026-07-16 04:25:00",0.508,0
"267","2026-07-16 04:26:00",0.483,0
"268","2026-07-16 04:27:00",0.494,0
"269","2026-07-16 04:28:00",0.507,0
"270","2026-07-16 04:29:00",0.483,0
"271","2026-07-16 04:30:00",0.445,1
"272","2026-07-16 04:31:00",0.388,0
"273","2026-07-16 04:32:00",0.321,0
"274","2026-07-16 04:33:00",0.271,0
"275","2026-07-16 04:34:00",0.249,0
"276","2026-07-16 04:35:00",0.222,0
"277","2026-07-16 04:36:00",0.198,0
"278","2026-07-16 04:37:00",0.203,0
"279","2026-07-16 04:38:00",0.189,0
"280","2026-07-16 04:39:00",0.2,0
"281","2026-07-16 04:40:00",0.202,0
"282","2026-07-16 04:41:00",0.215,1
"283","2026-07-16 04:42:00",0.224,0
"284","2026-07-16 04:43:00",0.204,0
"285","2026-07-16 04:44:00",0.206,0
"286","2026-07-16 04:45:00",0.208,0
"287","2026-07-16 04:46:00",0.214,0
"288","2026-07-16 04:47:00",0.274,0
"289","2026-07-16 04:48:00",0.346,0
"290","2026-07-16 04:49:00",0.397,0
"291","2026-07-16 04:50:00",0.413,0
"292","2026-07-16 04:51:00",0.429,1
"293","2026-07-16 04:52:00",0.466,0
"294","2026-07-16 04:53:00",0.465,0
"295","2026-07-16 04:54:00",0.488,0
"296","2026-07-16 04:55:00",0.451,0
"297","2026-07-16 04:56:00",0.398,1
"298","2026-07-16 04:57:00",0.389,0
"299","2026-07-16 04:58:00",0.403,0
"300","2026-07-16 04:59:00",0.418,0
"301","2026-07-16 05:00:00",0.412,0
"302","2026-07-16 05:01:00",0.415,1
"303","2026-07-16 05:02:00",0.419,0
"304","2026-07-16 05:03:00",0.394,0
"305","2026-07-16 05:04:00",0.323,0
"306","2026-07-16 05:05:00",0.302,0
"307","2026-07-16 05:06:00",0.3,0
"308","2026-07-16 05:07:00",0.296,0
"309","2026-07-16 05:08:00",0.27,0
"310","2026-07-16 05:09:00",0.276,0
"311","2026-07-16 05:10:00",0.25,0
"312","2026-07-16 05:11:00",0.234,0
"313","2026-07-16 05:12:00",0.237,1
"314","2026-07-16 05:13:00",0.246,0
"315","2026-07-16 05:14:00",0.246,0
"316","2026-07-16 05:15:00",0.254,0
"317","2026-07-16 05:16:00",0.281,0
"318","2026-07-16 05:17:00",0.305,0
"319","2026-07-16 05:18:00",0.308,0
"320","2026-07-16 05:19:00",0.311,0
"321","2026-07-16 05:20:00",0.343,0
"322","2026-07-16 05:21:00",0.343,1
